Year,Month,Chinese Entity,Quantity in Millions,Share Size,Transaction Party,Sector,Subsector,Country,Region,OBOR
2009,August,Yankuang,"$2,950 ",100%,Felix Resources,Energy,Coal,Australia,Australia,0
2009,August,CNOOC,$100 ,,Qatar Petroleum,Energy,Gas,Qatar,Arab Middle East and North Africa,1
2009,August,CNPC,"$1,740 ",60%,Athabasca Oil Corp,Energy,Oil,Canada,North America,0
2009,August,CNPC,$470 ,60%,,Energy,Oil,Chad,Sub-Saharan Africa,0
2009,August,Sinochem,$880 ,100%,Emerald Energy,Energy,,United Kingdom,Europe,0
2009,August,CIC,$450 ,19%,Songbird Estates,Real estate,Property,United Kingdom,Europe,0
2009,August,CIC,"$1,090 ",,Goodman Group,Real estate,Property,Australia,Australia,0
2009,September,Gezhouba,$450 ,,Ethiopian Electric Power Corporation,Energy,Hydro,Ethiopia,Sub-Saharan Africa,1
2009,September,China Communications Construction,$120 ,,,Transport,Autos,Eq. Guinea,Sub-Saharan Africa,0
2009,September,Shandong Electric Power,$810 ,,China Light and Power,Energy,Coal,India,West Asia,1
2009,September,Huawei,$490 ,70%,Nucleus Connect,Technology,Telecom,Singapore,East Asia,1
2009,September,CIC,$940 ,11%,JSC KazMunaiGas E&P,Energy,Gas,Kazakhstan,West Asia,1
2009,September,CNPC,"$1,160 ",50%,Singapore Petroleum,Energy,Oil,Singapore,East Asia,1
2009,September,ICBC,$530 ,,ACL Bank,Finance,Banking,Thailand,East Asia,1
2009,September,Shanghai Electric,$350 ,40%,Goss International,Other,Industry,United States,USA,0
2009,September,CIC,"$1,200 ",,Goldman Sachs and Oaktree Capital Management distressed asset fund,Real estate,Property,United States,USA,0
2009,September,Unicom,"$1,000 ",1%,Telefonica,Technology,Telecom,Spain,Europe,0
2009,September,State Construction Engineering,$100 ,3%,Baha Mar Resort,Tourism,,Bahamas,North America,0
2009,October,Shanghai Electric,"$1,380 ",,Electricite de Vietnam,Energy,Coal,Vietnam,East Asia,1
2009,October,China Jiangsu International Group,$170 ,,,Utilities,,Botswana,Sub-Saharan Africa,0
2009,October,Sinoma,$140 ,,Dangote,Real estate,Construction,Zambia,Sub-Saharan Africa,0
2009,October,Sinoma,$140 ,,Dangote,Real estate,Construction,Senegal,Sub-Saharan Africa,0
2009,October,China Communications Construction,$960 ,,,Transport,Autos,Vietnam,East Asia,1
2009,October,China Railway Construction,$850 ,,,Transport,Rail,Nigeria,Sub-Saharan Africa,0
2009,October,China Communications Construction,$100 ,,,Logistics,,Sudan,Arab Middle East and North Africa,0
2009,October,China Communications Construction,$100 ,,,Transport,Shipping,Brazil,South America,0
2009,October,Norinco,$610 ,,,Real estate,Construction,Russia,West Asia,0
2009,October,Norinco,$210 ,,,Real estate,Construction,Russia,West Asia,0
2009,October,Sinohydro,$430 ,,,Energy,Hydro,Mali,Sub-Saharan Africa,0
2009,October,CIC,$250 ,13%,South Gobi Energy,Energy,Coal,Mongolia,East Asia,1
2009,October,CIC,$300 ,45%,Nobel Holdings,Energy,Oil,Russia,West Asia,0
2009,October,CNPC,$260 ,,,Energy,Oil,Sudan,Arab Middle East and North Africa,0
2009,October,CNPC,"$5,590 ",37%,BP and Iraq South Oil,Energy,Oil,Iraq,Arab Middle East and North Africa,1
2009,November,Sinomach,$970 ,,,Energy,,Botswana,Sub-Saharan Africa,0
2009,November,Harbin Electric,$600 ,,,Energy,,Pakistan,West Asia,1
2009,November,Huawei,$180 ,,Telenor,Technology,Telecom,Norway,Europe,0
2009,November,China Communications Construction,$610 ,,,Transport,Autos,Ethiopia,Sub-Saharan Africa,1
